lat,lon,surface,code_culture,value
43.41298,0.15806,1.99,BTH,20059
43.41649,0.15854,1.06,BTH,10684
43.40884,0.15988,1.03,TRN,9012
43.41429,0.15894,2.74,MIS,29235
43.42113,0.15872,3.84,TRN,33600
43.41688,0.16001,0.79,BTH,7963
43.41034,0.16073,0.56,BTH,5644
43.43198,0.15441,1.24,MIS,13230
43.44198,0.15462,7.88,SOJ,137112
43.43656,0.15627,11.78,MIS,125692
43.4406,0.15624,4.67,MIS,49828
43.43914,0.15628,4.87,MIS,51962
43.44417,0.15672,15.43,MIS,164638
43.46143,0.15413,7.86,BTH,79228
43.45854,0.15691,4.06,MIS,43320
43.45746,0.15843,7.82,MIS,83439
43.45074,0.15508,3.15,MIS,33610
43.44616,0.15624,13.44,MIS,143404
43.45554,0.15423,8.0,BTH,80640
43.45887,0.15464,5.6,MIS,59751
43.43094,0.15699,3.38,MIS,36064
43.43007,0.15855,3.58,TRN,31325
43.6297,0.14524,0.21,SOJ,3654
43.43238,0.15858,18.93,MIS,201983
43.42834,0.15902,3.99,MIS,42573
43.43588,0.15959,9.94,MIS,106059
43.43905,0.15888,3.81,TRN,33337
43.44321,0.15967,7.46,MIS,79598
43.44864,0.15685,10.96,SOG,108723
43.45345,0.15889,12.13,MIS,129427
43.4561,0.15642,6.58,MIS,70208
43.46284,0.15895,6.18,MIS,65940
43.46623,0.14633,2.33,TRN,20387
43.46942,0.14543,3.17,MIS,33823
43.46862,0.14581,1.45,MIS,15471
43.46772,0.14692,2.8,MIS,29876
43.47624,0.14506,1.06,MIS,11310
43.47522,0.14559,5.39,SOJ,93786
43.48068,0.14629,9.49,MIS,101258
43.46466,0.14786,3.36,MIS,35851
43.46615,0.14848,3.74,MIS,39905
43.46689,0.1491,1.0,MIS,10670
43.47159,0.14848,3.2,MIS,34144
43.47806,0.14752,3.25,MIS,34677
43.48338,0.14597,0.76,SOJ,13223
43.49164,0.14702,6.51,BTH,65620
43.47012,0.14927,4.66,MIS,49722
43.46526,0.15017,0.46,TTH,3992
43.46976,0.15064,3.5,MIS,37345
43.47306,0.15003,16.72,MIS,178402
43.47703,0.14988,7.16,MIS,76397
43.4804,0.14975,3.19,SOJ,55506
43.47896,0.14945,2.6,SOJ,45240
43.46766,0.15049,3.93,MIS,41933
43.4664,0.15153,2.81,MIS,29982
43.49874,0.14883,17.5,SOJ,304500
43.50722,0.144,6.85,BTH,69048
43.51446,0.14386,4.02,BTH,40521
43.51669,0.1457,8.14,MIS,86853
43.5111,0.14679,12.21,MIS,130280
43.51864,0.14621,1.03,SOJ,17922
43.52245,0.14268,5.39,BTH,54331
43.51949,0.14421,4.96,TRN,43400
43.5205,0.14384,3.21,TRN,28087
43.52894,0.14255,6.22,MIS,66367
43.53584,0.14239,2.96,MIS,31583
43.52332,0.14478,4.04,BTH,40723
43.5249,0.14511,4.84,SOJ,84216
43.52389,0.1484,5.69,SOJ,99006
43.52756,0.14497,10.8,SOJ,187920
43.5344,0.14461,10.18,BTH,102614
43.50872,0.14763,10.43,BTH,105134
43.50598,0.1483,11.29,BTH,113803
43.51422,0.14636,1.96,MIS,20913
43.51836,0.14862,2.43,BTH,24494
43.51646,0.14976,3.73,BTH,37598
43.51514,0.15062,2.27,MIS,24220
43.52627,0.14573,5.85,MIS,62419
43.52002,0.14748,1.42,SOJ,24708
43.5192,0.14824,0.78,SOJ,13572
43.5208,0.14767,0.92,BTH,9273
43.53072,0.14632,2.25,SOJ,39150
43.53533,0.14707,21.39,MIS,228231
43.52248,0.14814,1.3,BTH,13104
43.53004,0.14817,3.72,MIS,39692
43.46592,0.15248,4.75,MIS,50682
43.47094,0.15257,2.97,SOJ,51678
43.46356,0.15321,10.14,MIS,108193
43.47491,0.15292,6.0,BTH,60480
43.47143,0.15402,0.61,MIS,6508
43.4683,0.15405,6.9,SOJ,120060
43.47218,0.15405,1.27,BTH,12801
43.4711,0.155,1.9,MIS,20273
43.47755,0.15436,2.01,BTH,20260
43.47346,0.15452,1.93,MIS,20593
43.49204,0.15345,17.26,BTH,173980
43.46726,0.15627,3.26,SOJ,56723
43.47209,0.15509,0.55,MIS,5868
43.47254,0.15555,0.71,MIS,7575
43.46896,0.15714,5.3,MIS,56551
43.47588,0.15523,5.54,MIS,59111
43.47906,0.15543,2.33,SOJ,40542
43.46634,0.15781,5.33,SOJ,92742
43.46421,0.15753,5.02,MIS,53563
43.47664,0.15626,1.3,SOJ,22620
43.47804,0.15645,2.52,SOJ,43848
43.47564,0.1577,1.15,SOJ,20010
43.48774,0.1553,9.39,SOJ,163386
43.49866,0.15464,12.27,BTH,123681
43.48728,0.15785,10.33,TRN,90387
43.50848,0.1512,7.5,SOJ,130500
43.51288,0.15104,8.27,BTH,83361
43.50272,0.15218,4.53,SOJ,78822
43.50151,0.15293,7.32,SOJ,127368
43.5232,0.1498,2.27,TRN,19862
43.52769,0.14992,6.59,MIS,70315
43.52434,0.15049,1.76,SOJ,30624
43.52944,0.15015,1.88,MIS,20059
43.52363,0.1517,1.93,TRN,16887
43.52616,0.15299,8.27,SOJ,143897
43.5292,0.15142,0.71,MIS,7575
43.53199,0.15167,5.78,SOJ,100572
43.50133,0.15406,1.87,BTH,18849
43.50228,0.1548,1.04,MIS,11096
43.50961,0.15498,3.15,SOJ,54810
43.51313,0.15295,5.88,SOJ,102312
43.39344,0.16408,0.33,BTH,3326
43.50802,0.15551,3.93,MIS,41933
43.50061,0.15672,3.0,MIS,32010
43.50531,0.15665,3.74,TRN,32725
43.52017,0.15358,9.34,MLG,29888
43.53044,0.15319,5.45,SOJ,94830
43.53681,0.15332,0.8,VRC,6720
43.5255,0.15393,7.18,MIS,76610
43.52951,0.15422,1.62,SOJ,28188
43.52906,0.15518,1.27,MIS,13550
43.40298,0.16211,1.82,TTH,15797
43.41212,0.16119,0.66,BTH,6652
43.4161,0.16181,1.27,MIS,13550
43.41666,0.16128,0.82,MIS,8749
43.41166,0.16219,2.22,BTH,22377
43.42129,0.1618,3.46,TRN,30275
43.42352,0.1623,1.04,TRN,9100
43.42626,0.16133,2.43,MIS,25928
43.41278,0.16336,1.7,MLG,5440
43.4172,0.16313,2.55,BTH,25704
43.39385,0.16733,3.48,MIS,37131
43.40001,0.16483,0.32,TTH,2777
43.40124,0.1655,2.87,TTH,24911
43.40528,0.16533,1.59,TTH,13801
43.40486,0.1655,0.75,TTH,6510
43.40711,0.16541,2.62,TTH,22741
43.39134,0.16799,0.06,VRG,495
43.39538,0.16869,6.76,MIS,72129
43.40227,0.16651,2.0,TTH,17360
43.40782,0.16699,2.15,TTH,18662
43.4092,0.16528,0.9,TTH,7811
43.41189,0.16479,9.1,MLG,29120
43.41492,0.1649,2.8,TRN,24500
43.4254,0.16453,11.38,MIS,121424
43.42158,0.16457,1.13,BTH,11390
43.41816,0.16573,2.56,BTH,25804
43.42423,0.16457,4.75,MIS,50682
43.40882,0.16702,0.57,MLG,1824
43.41706,0.1672,3.99,MIS,42573
43.428,0.16108,1.74,MIS,18565
43.43508,0.16132,1.76,MIS,18779
43.44036,0.16011,3.45,MIS,36811
43.43808,0.16073,3.44,TRN,30100
43.44179,0.16094,4.28,MIS,45667
43.42828,0.16252,1.37,TRN,11987
43.42952,0.16215,2.0,MIS,21340
43.43394,0.16254,3.85,MIS,41079
43.44106,0.16264,5.89,MIS,62846
43.45019,0.16075,7.87,MIS,83972
43.43108,0.16385,2.73,TRN,23887
43.43375,0.16366,0.05,MIS,533
43.46126,0.15906,11.95,MIS,127506
43.44786,0.16156,4.36,SOJ,75864
43.45238,0.16213,3.71,MIS,39585
43.45638,0.16129,3.03,MLG,9696
43.45542,0.16151,2.94,MIS,31369
43.45956,0.16225,4.29,MIS,45774
43.42864,0.16379,2.92,MIS,31156
43.43199,0.16366,2.52,BTH,25401
43.43296,0.16429,0.75,BTH,7560
43.43445,0.1646,0.06,MIS,640
43.44386,0.16272,6.06,SOJ,105444
43.43792,0.16458,10.91,SOJ,189834
43.44244,0.16379,1.42,MIS,15151
43.43024,0.16527,4.41,MIS,47054
43.43452,0.16532,0.03,MIS,320
43.43564,0.16525,7.85,MIS,83759
43.42786,0.16663,6.21,MIS,66260
43.44112,0.16559,6.2,MIS,66154
43.44286,0.1661,2.77,MIS,29555
43.44461,0.16568,1.05,MIS,11203
43.44618,0.16325,6.17,MIS,65833
43.45408,0.16311,6.17,MIS,65833
43.45732,0.16364,0.08,MIS,853
43.46107,0.16314,2.92,BTH,29433
43.44893,0.1646,9.88,SOJ,171912
43.4568,0.16384,2.14,MIS,22833
43.39167,0.16907,0.73,FLA,14600
43.39255,0.16941,0.35,FLA,7000
43.396,0.1694,2.88,MIS,30729
43.40178,0.16854,1.03,BTH,10382
43.40314,0.16834,0.46,BTH,4636
43.40804,0.16816,1.24,MLG,3968
43.39608,0.17102,0.75,MIS,8002
43.40366,0.17031,0.67,MIS,7148
43.40414,0.17092,0.14,VRN,1176
43.41176,0.16852,3.28,MLG,10496
43.42364,0.16731,12.83,MIS,136896
43.41498,0.16935,2.08,MIS,22193
43.41072,0.17047,0.34,MIS,3627
43.41809,0.16901,11.53,MIS,123025
43.39645,0.17234,1.26,MIS,13444
43.39755,0.17188,3.68,MIS,39265
43.39852,0.17252,1.3,TRN,11375
43.39583,0.17283,0.6,MIS,6402
43.40426,0.17122,0.25,VRC,2099
43.40346,0.17182,1.54,BTH,15523
43.40255,0.1723,0.29,TTH,2517
43.4007,0.17339,10.12,TRN,88549
43.40775,0.17251,1.85,MLG,5920
43.40167,0.17334,0.61,BTH,6148
43.40348,0.17328,1.49,BTH,15019
43.40508,0.17321,2.28,TRN,19950
43.41648,0.17159,8.23,MIS,87814
43.41508,0.17168,8.56,MIS,91335
43.42212,0.17002,12.93,SOJ,224982
43.42785,0.16975,10.7,MIS,114169
43.40969,0.17335,1.75,BTH,17639
43.411,0.173,2.3,SOJ,40019
43.4136,0.17311,0.85,TTH,7377
43.41446,0.17342,2.39,MIS,25501
43.41968,0.17299,15.0,MIS,160050
43.42526,0.17273,2.1,TRN,18375
43.43532,0.16654,2.4,MIS,25608
43.43142,0.16772,1.14,MIS,12163
43.43338,0.16693,5.04,TRN,44100
43.43786,0.16737,0.59,MIS,6295
43.4298,0.16886,9.47,MIS,101044
43.43707,0.16936,2.14,MIS,22833
43.4415,0.16792,1.78,MIS,18992
43.4405,0.16816,2.92,MIS,31156
43.44285,0.16868,2.0,MIS,21340
43.44706,0.1666,13.37,MIS,142657
43.45035,0.16736,12.09,MIS,129000
43.45495,0.16636,0.93,MLG,2976
43.46152,0.16643,2.42,MIS,25821
43.45264,0.16864,1.57,TRN,13737
43.43332,0.17034,6.37,MIS,67967
43.43996,0.16915,1.9,MIS,20273
43.43666,0.17015,1.64,MIS,17498
43.43904,0.16983,3.64,MIS,38838
43.44072,0.1697,1.1,MIS,11737
43.44406,0.16915,0.69,MIS,7362
43.42978,0.17181,4.21,MIS,44920
43.43266,0.17281,7.92,MIS,84506
43.43812,0.17118,0.99,TRN,8662
43.44498,0.17069,3.87,MIS,41292
43.44311,0.17164,2.54,SOJ,44196
43.44204,0.1731,3.81,MIS,40652
43.45036,0.1695,0.74,SOJ,12876
43.45817,0.16967,3.76,BTH,37900
43.45965,0.16868,1.78,BTH,17942
43.44679,0.17138,1.33,MIS,14191
43.45997,0.1704,4.32,BTH,43545
43.46162,0.17127,6.55,BTH,66023
43.4649,0.1593,0.58,TTH,5034
43.47694,0.15902,4.08,BTH,41126
43.47517,0.15903,1.28,BTH,12902
43.46595,0.16015,4.11,SOJ,71514
43.47602,0.16019,2.91,BTH,29332
43.47814,0.15999,1.11,SOJ,19314
43.4768,0.16049,0.32,BTH,3225
43.4791,0.1612,1.47,SOJ,25578
43.49776,0.15755,1.7,MIS,18139
43.4988,0.15847,5.15,MIS,54950
43.48533,0.16053,0.99,TRN,8662
43.47404,0.1622,1.02,BTH,10281
43.47766,0.16185,0.19,SOJ,3305
43.47703,0.16201,1.43,SOJ,24882
43.47834,0.16169,1.36,SOJ,23664
43.48226,0.16129,1.94,BTH,19555
43.47512,0.16262,3.13,SOJ,54462
43.47809,0.16243,0.02,SOJ,348
43.46805,0.16353,2.55,BTH,25704
43.47671,0.16351,1.8,SOJ,31320
43.48172,0.16347,2.11,BTH,21268
43.49675,0.16138,7.11,SOJ,123714
43.4855,0.16309,8.16,SOJ,141983
43.4832,0.16311,3.41,BTH,34372
43.48766,0.16336,7.64,SOJ,132935
43.49479,0.16511,4.23,SOJ,73602
43.4947,0.16281,4.36,SOJ,75864
43.49966,0.16184,10.47,MIS,111714
43.50322,0.15782,3.01,MIS,32116
43.50157,0.15871,4.54,MIS,48441
43.5015,0.16018,3.65,MIS,38945
43.505,0.15971,4.15,TRN,36312
43.52658,0.1555,1.73,BTH,17438
43.52804,0.15613,0.87,SOJ,15138
43.5354,0.15831,4.45,VRC,37380
43.50334,0.15957,0.79,MIS,8429
43.536,0.15949,0.77,VRC,6468
43.47664,0.16491,3.35,BTH,33768
43.47586,0.16519,1.08,BTH,10886
43.4896,0.16335,6.92,BTH,69753
43.49087,0.16463,0.52,SOJ,9048
43.49832,0.16444,4.87,BTH,49089
43.48322,0.16696,10.62,SOJ,184788
