lat,lon,surface,code_culture,value
48.90806,-0.80558,0.09,VRG,743
48.91213,-0.80571,9.0,BTH,90720
48.90476,-0.8032,4.19,MIE,44707
48.90999,-0.80458,2.21,MIE,23580
48.91114,-0.80379,3.4,MIE,36278
48.92449,-0.80443,9.07,MIE,96776
48.92034,-0.80446,7.56,MIE,80665
48.92627,-0.80508,10.08,BTH,101606
48.94313,-0.81199,3.11,MIE,33183
48.94732,-0.81049,1.19,BTH,11995
48.96054,-0.81368,3.89,BTH,39211
48.95849,-0.81194,3.13,BTH,31550
48.96692,-0.81346,5.2,BTH,52416
48.96832,-0.81329,0.84,MIE,8962
48.96953,-0.81267,1.17,MIE,12483
48.95963,-0.80907,6.94,BTH,69955
48.96358,-0.81159,5.67,BTH,57153
48.94861,-0.80724,15.15,BTH,152712
48.96,-0.80809,2.95,BTH,29736
48.95461,-0.80669,8.16,MIE,87067
48.90279,-0.80158,2.91,MIE,31049
48.90244,-0.80007,1.67,MIE,17818
48.90908,-0.80146,5.16,MIE,55057
48.90084,-0.79972,3.65,BTH,36792
48.90794,-0.80127,3.49,MIE,37238
48.91298,-0.80061,1.41,BTH,14212
48.91225,-0.80111,1.72,MIE,18352
48.9215,-0.80246,2.88,MIE,30729
48.91925,-0.80079,3.52,MIE,37558
48.91002,-0.79697,10.54,MIE,112461
48.93695,-0.79918,1.79,MIE,19099
48.92568,-0.80101,10.01,BTH,100900
48.91164,-0.79773,7.4,MIE,78958
48.9155,-0.79691,1.67,MIE,17818
48.91422,-0.79607,7.4,BTH,74592
48.9189,-0.7995,1.31,BTH,13204
48.91654,-0.79831,1.21,MIE,12910
48.92142,-0.79895,2.17,MIE,23153
48.93202,-0.80085,4.88,BTH,49190
48.96922,-0.80422,1.92,BTH,19353
48.93502,-0.80036,0.78,MIE,8322
48.91911,-0.79726,4.45,BTH,44855
48.91763,-0.79655,0.0,BTH,0
48.92938,-0.7971,6.52,MIE,69568
48.9257,-0.79682,1.72,MIE,18352
48.93189,-0.79737,3.26,MIE,34784
48.94261,-0.80273,2.86,MIE,30516
48.9359,-0.80139,1.57,MIE,16751
48.93928,-0.80133,2.78,MIE,29662
48.93708,-0.79996,1.27,MIE,13550
48.9563,-0.80488,9.0,BTH,90720
48.96728,-0.80507,0.87,BTH,8769
48.95846,-0.80446,2.78,BTH,28022
48.96461,-0.80381,3.76,MIE,40119
48.9669,-0.80298,4.49,BTH,45259
48.93477,-0.79894,2.43,MIE,25928
48.93607,-0.79802,1.55,MIE,16538
48.94486,-0.80031,5.23,CZH,69663
48.94966,-0.80041,6.79,MIE,72449
48.95316,-0.8015,11.63,MIE,124092
48.9579,-0.80212,3.29,CZH,43822
48.95353,-0.80101,2.98,MIE,31796
48.96072,-0.8016,3.61,MIE,38518
48.96401,-0.8023,4.23,MCR,41961
48.95726,-0.80012,0.92,MIE,9816
48.95642,-0.79956,2.49,CZH,33166
48.96376,-0.80062,1.71,SOG,16963
48.967,-0.80077,5.77,BTH,58161
48.38542,-0.75652,3.85,MIS,41079
48.3898,-0.75651,6.12,BTH,61689
48.3833,-0.75436,3.68,BTH,37094
48.3951,-0.75671,10.17,MLG,32544
48.39834,-0.75709,8.6,MLG,27520
48.40936,-0.75846,2.11,MIE,22513
48.40746,-0.75731,2.16,BTH,21772
48.40416,-0.7557,8.41,MIE,89734
48.40954,-0.75627,6.17,MIE,65833
48.3918,-0.75472,2.61,MIE,27848
48.3904,-0.75306,3.81,MIE,40652
48.39398,-0.75343,6.2,BTH,62495
48.38379,-0.75116,1.75,BTH,17639
48.39874,-0.75334,2.34,MIE,24967
48.40038,-0.75229,9.5,MIE,101365
48.40384,-0.75425,5.46,ORH,36636
48.40742,-0.75507,0.7,MIE,7468
48.40224,-0.75228,4.29,BTH,43243
48.407,-0.75308,4.18,MIE,44600
48.41016,-0.7533,9.09,MIE,96990
48.41314,-0.75374,2.61,BTH,26308
48.41586,-0.75407,5.91,MIE,63059
48.42258,-0.76011,6.74,BTH,67939
48.4247,-0.7597,0.92,MIE,9816
48.42859,-0.75881,3.92,BTH,39513
48.43754,-0.75984,0.06,PTC,705
48.42674,-0.75824,1.29,BTH,13003
48.42446,-0.75736,3.8,ORH,25498
48.42948,-0.75883,3.64,BTH,36691
48.43359,-0.75876,3.37,BTH,33969
48.44124,-0.76162,3.91,MIE,41719
48.43959,-0.76129,1.09,MIE,11630
48.4402,-0.76073,2.6,MIE,27742
48.45516,-0.76147,2.28,MLG,7295
48.44199,-0.76005,0.07,MIE,746
48.44458,-0.75767,1.19,MIE,12697
48.44235,-0.75905,1.52,MIE,16218
48.44595,-0.75951,3.22,MLG,10304
48.45074,-0.76005,2.09,MLG,6688
48.453,-0.76039,1.84,MIE,19632
48.45182,-0.75975,1.4,BTH,14111
48.42242,-0.75698,3.98,MIE,42466
48.43634,-0.7564,1.26,MIE,13444
48.42683,-0.75545,9.47,BTH,95457
48.4492,-0.7584,5.69,BTH,57355
48.42122,-0.75345,4.62,BTH,46569
48.43218,-0.75488,3.68,BTH,37094
48.42874,-0.75491,5.29,MIE,56444
48.43466,-0.7562,4.33,MIE,46201
48.447,-0.75798,3.81,BTH,38404
48.45548,-0.75874,2.2,MIE,23474
48.45398,-0.75778,4.16,BTH,41932
48.44556,-0.75661,1.61,MIE,17178
48.44768,-0.7567,1.75,MIE,18672
48.45225,-0.75747,2.42,MIE,25821
48.39288,-0.75144,6.18,ORH,41467
48.39612,-0.75032,1.25,MIE,13337
48.3838,-0.7482,1.3,BTH,13104
48.39047,-0.74997,12.12,CZH,161438
48.38746,-0.74861,6.15,BTH,61992
48.38886,-0.74927,12.43,MIS,132628
48.39805,-0.74949,4.96,BTH,49996
48.39419,-0.7487,3.82,BTH,38505
48.39686,-0.74862,1.23,BTH,12398
48.40527,-0.75185,2.8,MIE,29876
48.4066,-0.75077,2.23,MIE,23794
48.41329,-0.75177,3.15,BTH,31752
48.41387,-0.75011,1.61,MCR,15971
48.4164,-0.74995,1.27,MIE,13550
48.41778,-0.75016,4.72,BTH,47577
48.48948,-0.74344,2.22,MIE,23687
48.39488,-0.74746,0.47,TTH,4079
48.39644,-0.74755,2.02,BTH,20361
48.38524,-0.74489,4.44,MIE,47374
48.38816,-0.74435,12.65,BTH,127512
48.39258,-0.74482,8.03,TTH,69700
48.39517,-0.74526,1.59,BTH,16027
48.39815,-0.74575,5.7,CZH,75924
48.40686,-0.74896,3.19,BTH,32155
48.4104,-0.74842,3.0,MIE,32010
48.41214,-0.74884,3.93,MCR,38985
48.41436,-0.74934,0.1,MCR,992
48.41339,-0.74843,0.21,MCR,2083
48.41506,-0.74851,1.42,BTH,14313
48.40938,-0.74633,4.08,BTH,41126
48.41114,-0.74725,0.87,MCR,8630
48.41298,-0.74767,0.81,MCR,8035
48.41665,-0.74682,6.05,BTH,60984
48.41994,-0.74714,6.07,ORH,40729
48.43446,-0.75365,5.58,MIE,59538
48.4371,-0.75231,2.47,MIE,26354
48.42344,-0.75267,4.18,BTH,42134
48.42422,-0.7532,1.03,BTH,10382
48.42964,-0.7516,2.17,MIE,23153
48.43612,-0.7528,3.07,MIE,32756
48.43426,-0.7512,1.95,MIE,20806
48.44615,-0.75444,2.56,MIE,27315
48.4382,-0.75387,0.77,MIE,8215
48.44014,-0.75372,2.75,MLG,8800
48.43864,-0.75232,1.29,MIE,13764
48.44487,-0.75315,1.9,MIE,20273
48.4495,-0.75382,3.29,ORH,22075
48.44803,-0.75236,3.86,MIE,41186
